タイトル,作者名,時代,漢詩本文,和訳,解説
望廬山瀑布,李白,唐,"日照香炉生紫煙，遥看瀑布掛前川。
飛流直下三千尺，疑是銀河落九天。","太陽が香炉峰を照らして紫色の霞が立ち昇り、はるか遠くに瀑布が目の前の川に掛かっているのを見る。
飛ぶように流れ落ちる水は三千尺も一直線に下り、まるで銀河が天の最も高いところから落ちてきたのかと疑うほどだ。",这是李白浪漫主义诗歌的代表作。“飞流直下三千尺，疑是银河落九天”运用了极其夸张的想象，将瀑布的磅礴气势描绘得如梦如幻，气象万千。
贈汪倫,李白,唐,"李白乗舟将欲行，忽聞岸上踏歌声。
桃花潭水深千尺，不及汪倫送我情。","私、李白が舟に乗って出発しようとした時、ふと岸の上から足拍子をとって歌う声が聞こえてきた。
ここ桃花潭の水は千尺の深さがあるというが、それでも汪倫が私を見送ってくれるこの深い情には及ばない。",这首诗语言极其朴素自然，就像一首民歌。诗人用“深千尺”的桃花潭水作比，生动形象地表达了汪伦对自己深厚且真挚的友情。
早発白帝城,李白,唐,"朝辞白帝彩雲間，千里江陵一日還。
両岸猿声啼不住，軽舟已過万重山。","朝、美しい朝焼け雲の間にそびえる白帝城に別れを告げ、千里離れた江陵へわずか一日で帰っていく。
長江の両岸からは猿の鳴き声が絶え間なく聞こえてくるが、私の乗る軽快な舟は、すでに幾重にも連なる山々を通り過ぎてしまった。",此诗作于李白流放途中遇赦之后。全诗如行云流水，气势奔放，字里行间洋溢着诗人重获自由后极其轻快、愉悦的心情。
江畔独歩尋花,杜甫,唐,"黄四娘家花満蹊，千朶万朶圧枝低。
留連戯蝶時時舞，自在嬌鶯恰恰啼。","黄四娘（こうしじょう）の家の前の小道には花が満開で、千も万もの花房が重そうに枝を低くしならせている。
いつまでも離れようとしない戯れる蝶が時折舞い上がり、自由気ままな可愛いウグイスが楽しげに鳴いている。",杜甫定居成都草堂时所作。与他悲凉的现实主义作品不同，这首诗色彩明丽，充满生机，生动地展现了春天繁花似锦的景象和诗人欢快的心情。
春望,杜甫,唐,"国破山河在，城春草木深。
感時花濺涙，恨別鳥驚心。
烽火連三月，家書抵万金。
白頭掻更短，渾欲不勝簪。","国は破れ都は破壊されたが、山や河の自然はそのまま残り、長安の城内にも春が来て草木が深く茂っている。
この悲惨な時代を思っては美しい花を見ても涙を流し、家族との別れを恨んでは鳥の鳴き声にも心を驚かせる。
戦火は三月からずっと続いており、家族からの手紙は万金にも値するほど貴重だ。
白髪頭は掻くたびにますます短く抜け落ち、もはや冠を留める簪（かんざし）も挿せないほどだ。",安史之乱爆发后，杜甫被困长安时所作。开篇“国破山河在”极其沉痛地写出了国家的残破，全诗将忧国与思家紧密结合，情感极其深沉真挚，是“诗史”的代表作。
春夜喜雨,杜甫,唐,"好雨知時節，当春乃発生。
随風潜入夜，潤物細無声。
野径雲倶黒，江船火独明。
暁看紅湿処，花重錦官城。","良い雨というものは降るべき季節を心得ていて、まさに春の草木が芽吹く時に降るものだ。
風に乗って密かに夜に入り込み、万物を潤すが、その音は細やかで聞こえない。
野の小道も雲もすべて真っ暗で、ただ川に浮かぶ舟の漁火だけがポツンと明るい。
夜明けに赤く濡れているあたりを見れば、雨を含んで重くなった花々が錦官城（成都）を埋め尽くしているだろう。",这是一首描写春雨的绝唱。诗人将雨拟人化，“润物细无声”不仅极其精准地描绘了春雨的特点，更蕴含着诗人对这场好雨的无限喜悦与赞美。
聞官軍収河南河北,杜甫,唐,"剣外忽伝収薊北，初聞涕涙満衣裳。
却看妻子愁何在，漫巻詩書喜欲狂。
白日放歌須縦酒，青春作伴好還郷。
即従巴峡穿巫峡，便下襄陽向洛陽。","剣南の地で、突然官軍が薊北（安史の乱の賊の根拠地）を奪還したと伝え聞いた。初めに聞いた時は、嬉し涙で着物がすっかり濡れてしまった。
振り返って妻や子供を見ると、以前の愁いはどこへやら。無造作に詩の書物を巻き付け、狂わんばかりに喜んでいる。
明るい太陽の下で大声で歌い、心ゆくまで酒を飲もうではないか。この春の季節を道連れにして、故郷へ帰るのにこれほど良い時はない。
今すぐに巴峡から巫峡を抜け、襄陽を下って洛陽へと向かおう！",被称为杜甫“生平第一快诗”。听闻安史之乱平息，诗人惊喜交加。诗中通过一连串动作的描写，极其生动地表现了诗人那种压抑已久后突然爆发的狂喜之情以及对故乡的急切渴望。
遊子吟,孟郊,唐,"慈母手中線，遊子身上衣。
臨行密密縫，意恐遅遅帰。
誰言寸草心，報得三春暉。","慈しみ深い母の手にある糸は、旅立つ息子の着る服を縫うためのもの。
出発を前に心を込めて細かく縫うのは、帰りが遅くなるのを心配しているからだ。
誰が言えようか、小さな草のような子の心が、三春の太陽のような母の大きな恩に報いられるなどと。",这是一首歌颂伟大母爱的名诗。诗人以平实的语言，通过母亲为游子缝制衣服的普通细节，表达了对母亲深深的感激与敬爱。“寸草心”与“三春晖”的比喻感人肺腑。
賦得古原草送別,白居易,唐,"離離原上草，一歳一枯栄。
野火焼不尽，春風吹又生。
遠芳侵古道，晴翠接荒城。
又送王孫去，萋萋満別情。","原っぱに生い茂る草は、一年のうちに枯れてはまた栄える。
野火で焼かれても根まで尽き果てることはなく、春風が吹けばまた芽を出す。
遠く広がる香りは古い道まで侵食し、晴れ渡った緑は荒れ果てた城にまで続いている。
今また貴方を見送って行くが、この生い茂る草のように、私の心は別れの情で満ち溢れているのだ。",白居易十六岁时的成名作。“野火烧不尽，春风吹又生”以极其旺盛的生命力，赞美了野草坚韧不拔的精神。最后借草借景，自然过渡到送别之情，意境浑然天成。
無題,李商隠,唐,"相見時難別亦難，東風無力百花残。
春蚕到死糸方尽，蝋炬成灰涙始乾。
暁鏡但愁雲鬢改，夜吟応覚月光寒。
蓬山此去無多路，青鳥殷勤為探看。","会うことすら難しいのに、別れるのはさらに辛い。春風は力なく吹き、多くの花がしおれていく。
春の蚕は死ぬまで糸（想い）を吐き尽くし、蝋燭は灰になって初めて涙（蝋のしずく）が乾くのだ。
朝、鏡の前で美しい黒髪が変わっていくのを愁い、夜に詩を口ずさめば月の光を寒く感じるだろう。
あなたが住む蓬莱山はここからそう遠くはない。青い鳥よ、どうか私のために親切に様子を見に行ってくれないか。",这是李商隐最著名的爱情诗之一。诗中“春蚕到死丝方尽，蜡炬成灰泪始干”以极其凄美、执着的意象，表达了生死不渝的深情与至死方休的相思之苦，千百年来感动了无数人。
赤壁,杜牧,唐,"折戟沈沙鉄未銷，自将磨洗認前朝。
東風不与周郎便，銅雀春深鎖二喬。","砂に沈んでいた折れた矛、その鉄はまだ錆びて朽ちてはいなかった。自ら拾い上げて洗い磨いてみると、前の王朝（三国時代）のものだと分かった。
もしあの時、東南の風が周瑜（周郎）に味方していなかったら、今頃、春の深まる銅雀台に大喬と小喬の二人が捕らえられ、閉じ込められていたことだろう。",这是一首咏史诗。杜牧借赤壁之战的遗物，以极其独到的眼光指出历史的偶然性。他不写周瑜的英勇，而是说如果“东风不便”，战局将完全改写，立意新颖，发人深省。
泊船瓜洲,王安石,北宋,"京口瓜洲一水間，鐘山只隔数重山。
春風又緑江南岸，明月何時照我還。","京口と瓜洲は一筋の川を隔てるのみ。私の故郷である鐘山も、ここからわずか数重の山を隔てているだけだ。
春風が再び江南の岸辺を緑に変えたが、名月はいつになったら私を照らして故郷へ帰らせてくれるのだろうか。",这是王安石变法期间所作的思乡名篇。特别是“春风又绿江南岸”中的“绿”字，化静为动，极富生机，表现了诗人对家乡的深切思念以及渴望辞官归隐的矛盾心理。
題西林壁,蘇軾,北宋,"横看成嶺側成峰，遠近高低各不同。
不識廬山真面目，只縁身在此山中。","横から見れば連なる嶺、横から見れば切り立つ峰。遠く近く、高く低く、見る場所によって姿はそれぞれ異なっている。
廬山の本当の姿が分からないのは、ただ自分がこの山の中にいるからに他ならない。",这是一首极富哲理的诗。苏轼通过游览庐山的感受，生动地揭示了“当局者迷，旁观者清”的客观真理。语言通俗易懂，却蕴含着深刻的人生哲思。
夏日絶句,李清照,南宋,"生当作人傑，死亦為鬼雄。
至今思項羽，不肯過江東。","生きている間は人中の傑物であるべきであり、死んでもなお鬼神の中の英雄であるべきだ。
今になっても人々が項羽を思い慕うのは、彼が卑怯に生き延びることを潔しとせず、江東へ渡ることを拒んだからだ。",这首诗具有极强的现实针对性。李清照作为一位女词人，却发出了比男子更为慷慨激昂的呼声。借赞扬项羽宁死不屈的气节，狠狠讽刺了南宋朝廷畏敌如虎、仓皇南逃的怯懦。
石灰吟,于謙,明,"千錘万撃出深山，烈火焚焼若等閑。
粉骨砕身渾不怕，要留清白在人間。","千度万度打ち叩かれて深い山から掘り出され、烈火で焼かれることも平然と受け入れる。
たとえ粉骨砕身しようとも全く恐れることはない。ただ清廉潔白な志をこの世に残したいのだ。",这是一首托物言志诗。明代名臣于谦以石灰自喻，表达了自己哪怕粉身碎骨也要坚守高洁情操、报效国家的坚定信念。诗如其人，气宇轩昂。
己亥雑詩,龔自珍,清,"九州生気恃風雷，万馬斉喑究可哀。
我勧天公重抖擻，不拘一格降人才。","この広い大地に活気を生むには激しい風雷が必要だ。全ての馬が沈黙しているかのような現状は、この上なく悲しい。
私は天の神に勧める、もう一度奮い立って、既存の枠にとらわれず優れた人材を降ろしてほしいと。",龚自珍生活在清朝衰落的晚期。这首诗是对死气沉沉的封建社会的猛烈抨击。“不拘一格降人才”发出了时代的最强音，呼唤变革与创新，振聋发聩。
関雎,佚名,先秦,"関関雎鳩，在河之洲。
窈窕淑女，君子好逑。
参差荇菜，左右流之。
窈窕淑女，寤寐求之。
求之不得，寤寐思服。
悠哉悠哉，輾転反側。","関関（かんかん）と鳴くミサゴのつがいが、川の中州にいる。
しとやかで美しい淑女は、立派な君子の良い伴侶だ。
ふぞろいなアサザの草を、左右に手分けして流し採る。
しとやかで美しい淑女を、寝ても覚めても探し求める。
求めても得られず、寝ても覚めても思い焦がれる。
ああ、なんと長い夜だろうか。思い悩んで寝返りばかり打っている。",《诗经》的第一篇，也是中国文学史上最著名的爱情诗。通过雎鸠和鸣、采摘荇菜的起兴，生动地描写了一个男子对心上人的日夜思念与热烈追求，情感真挚，音韵和谐。
蒹葭,佚名,先秦,"蒹葭蒼蒼，白露為霜。
所謂伊人，在水一方。
溯洄従之，道阻且長。
溯游従之，宛在水中央。","アシの葉が青々と茂り、白い露が凍って霜となる。
私の想い人は、この川の対岸にいる。
川を遡って従おうとするが、道は険しく且つ遠い。
川を下って従おうとするが、あの人は水の中央にいるかのようで、どうしても手が届かない。",《诗经·秦风》中的名篇。通过深秋清晨芦苇荡的迷离景色，烘托出主人公追寻意中人而不得的怅惘与迷茫。意境空灵凄美，极具朦胧之美。
離騒（節選）,屈原,戦国時代,"帝高陽之苗裔兮，朕皇考曰伯庸。
（中略）
日月忽其不淹兮，春与秋其代序。
惟草木之零落兮，恐美人之遅暮。
（中略）
路漫漫其修遠兮，吾将上下而求索。","私は古の帝・高陽（顓頊）の末裔であり、私の立派な亡父を伯庸という。
（中略）太陽と月は慌ただしく過ぎ去って留まることなく、春と秋は次々と巡ってくる。
草木が散り枯れていくのを見ては、立派な君主が年老いて手遅れになること（あるいは自分の才能が発揮できずに老いること）を恐れるのだ。
（中略）真理を求める道は果てしなく遠いけれども、私は天へ昇り地へ下って、どこまでも探し求めよう。",《离骚》是中国古代最长的抒情诗，也是浪漫主义文学的源头。“路漫漫其修远兮，吾将上下而求索”展现了屈原为了追求真理和高洁理想，不屈不挠、九死不悔的伟大精神。
野望,王績,唐,"東皋薄暮望，徙倚欲何依。
樹樹皆秋色，山山唯落暉。
牧人駆犢返，猟馬帯禽帰。
相顧無相識，長歌懐采薇。","夕暮れ時に東の丘から遠くを望み、あちこち歩き回るが、心はどこに頼ればよいか分からない。
どの木々もすべて秋の色に染まり、どの山々もただ夕日に照らされているだけだ。
牧童は子牛を追って帰り、猟師の馬は獲物をぶら下げて帰っていく。
周りを見渡しても知り合いは誰もおらず、ただ一人長く歌を口ずさみ、隠遁の身である我が身を（昔の伯夷・叔斉のように）慰めるのだ。",初唐时期的名篇。诗中描绘了一幅极其静谧的秋日田园晚景图，但在恬静的背后，却深深隐藏着诗人孤独无依、无人赏识的苦闷与彷徨。
望洞庭湖贈張丞相,孟浩然,唐,"八月湖水平，涵虚混太清。
気蒸雲夢沢，波撼岳陽城。
欲済無舟楫，端居恥聖明。
坐観垂釣者，徒有羨魚情。","八月の洞庭湖は水面が平らに満ち、空の虚空を包み込んで天と混じり合っている。
立ち上る水気は雲夢沢の広大な湿地を蒸し、うねる波は岳陽の城を揺るがすかのようだ。
この湖を渡ろうにも舟も櫂もなく、太平の世にただ暇を持て余している自分が恥ずかしい。
座って釣り人（役人たち）が魚を釣り上げるのを眺めながら、ただ魚（官職）を羨む気持ちを抱いているばかりだ。",这是一首委婉的“求职诗”。前四句写洞庭湖极其宏伟壮阔的景色，气象万千；后四句借景抒情，委婉地表达了自己想要出仕为国效力，却无人引荐的焦急心态。
相思,王維,唐,"紅豆生南国，春来発幾枝。
願君多采擷，此物最相思。","真っ赤な紅豆（あずき）は南の国に生えるというが、春が来てどれほどの枝が芽吹いただろうか。
君よ、どうかその豆をたくさん摘み取ってほしい。この紅豆こそが、最も相思（愛する人への想い）の情を表すものなのだから。",极其短小精悍的五言绝句。诗人借南方特有的“相思子”（红豆），寄托了对远方友人的深切怀念。语言极其单纯，却情意绵绵，后世多用来表达爱情。
宣州謝朓楼餞別校書叔雲,李白,唐,"棄我去者，昨日之日不可留。
乱我心者，今日之日多煩憂。
長風万里送秋雁，対此可以酣高楼。
（中略）
抽刀断水水更流，挙杯消愁愁更愁。
人生在世不称意，明朝散髪弄扁舟。","私を捨てて去っていく「昨日」という日は、引き留めることができない。
私の心を乱す「今日」という日は、煩わしい憂いばかりが多い。
長風が万里の彼方へ秋の雁を送り出していく。この壮大な景色に向かって、高楼で大いに酒を飲もうではないか。
（中略）刀を抜いて水を断ち切ろうとしても水はますます流れ、杯を挙げて愁いを消そうとしても愁いはますます深くなるばかりだ。
人生、この世にいて自分の思い通りにならないのなら、明日の朝は髪を振り乱して小舟に乗り、自由気ままに生きていこう。",李白极其经典的抒情长诗。诗中交织着极度的苦闷与极其豪放的气概。“抽刀断水水更流，举杯消愁愁更愁”将内心那种无法排遣的愁绪描绘得绝妙无比。
兵車行（節選）,杜甫,唐,"車轔轔，馬蕭蕭，行人弓箭各在腰。
耶娘妻子走相送，塵埃不見咸陽橋。
牽衣頓足攔道哭，哭声直上干雲霄。
（中略）
君不見，青海頭，古来白骨無人収。
新鬼煩冤旧鬼哭，天陰雨湿声啾啾。","車はゴロゴロと鳴り、馬はヒンヒンと嘶き、出征する兵士たちは皆、腰に弓矢を帯びている。
父母や妻子が走って見送り、巻き上がる砂埃で咸陽橋も見えないほどだ。
兵士の衣を引き、足ずりをして道を遮って泣き叫び、その泣き声はまっすぐに雲の彼方まで突き抜けていく。
（中略）君は見ないか、あの青海湖のほとりを。古来、戦死した白骨は誰にも収容されず野ざらしになっているのを。
新しい幽霊は無念に泣き叫び、古い幽霊も泣き、空が曇って冷たい雨が降る日には、その恨めしい声がチュウチュウと響き渡るのだ。",这是一首极其震撼人心的反战诗。杜甫以极其写实的笔触，描绘了唐玄宗穷兵黩武给人民带来的深重灾难，哭声震天，悲惨至极，字字血泪。
江南逢李亀年,杜甫,唐,"岐王宅裏尋常見，崔九堂前幾度聞。
正是江南好風景，落花時節又逢君。","昔、長安の岐王の屋敷であなた（李亀年）の姿をよく見かけ、崔九の広間でもあなたの素晴らしい歌声を何度となく聞いたものだ。
そして今、皮肉にも風光明媚なこの江南の地で、花が散りゆく寂しい季節に、落ちぶれた姿で再びあなたと巡り会うとは。",这是杜甫晚年流落江南时所作。短短二十八字，蕴含了极其巨大的时代沧桑感。从昔日长安的繁华盛世，到如今江南落花的衰败衰老，个人的悲凉与国家的衰亡完美交融。
琵琶行（節選）,白居易,唐,"大弦嘈嘈如急雨，小弦切切如私語。
嘈嘈切切錯雑弾，大珠小珠落玉盤。
（中略）
別有幽愁暗恨生，此時無声勝有声。
（中略）
同是天涯淪落人，相逢何必曾相識！
（中略）
座中泣下誰最多？江州司馬青衫湿。","太い弦は激しい雨のようにザーザーと鳴り、細い弦はひそひそ話のように切々と響く。
太い音と細い音が入り混じって奏でられると、まるで大小の真珠が玉の盆に転がり落ちるような美しい音がする。
（中略）そこには言葉にできない深い愁いと暗い恨みが生まれ、この時ばかりは音が無いことが音があることよりも勝って心に響く。
（中略）あなたも私も、同じように天の果てに落ちぶれた者同士。こうして巡り会ったのだから、以前からの知り合いである必要などないではないか！
（中略）この座席の中で誰が一番涙を流しただろうか。それは江州司馬である私（白居易）であり、青い役人の衣がすっかり濡れてしまったのだ。",中国古典诗歌中描写音乐的最高巅峰。白居易通过极其绝妙的比喻，将琵琶声的起伏变化写得出神入化。而“同是天涯沦落人”则将音乐之美与身世之悲融为一体，感动了千百年的读者。
遣悲懐三首・其一,元稹,唐,"謝公最小偏怜女，自嫁黔婁百事乖。
顧我無衣捜藎篋，泥他沽酒抜金釵。
野蔬充膳甘長藿，落葉添薪仰古槐。
今日俸銭過十万，与君営奠復営斎。","あなたは謝安の末娘のように家族から最も愛されていたのに、貧乏な私に嫁いでからは苦労ばかりだった。
私が着る物がないと見れば竹かごの底まで探し、私が酒を飲みたいとねだれば自分の金の簪（かんざし）を抜いて売ってくれた。
野の野菜で食事を済ませて豆の葉を甘んじて食べ、落ち葉を拾って薪の足しにし、古い槐（えんじゅ）の木を仰ぎ見ていた。
今、私の給料は十万銭を超えるようになったが、君はもういない。ただ君のために立派な供養と法事をするだけだ。",元稹悼念亡妻韦丛的绝唱。诗人通过极其琐碎却真实的日常生活细节，追忆妻子与自己共度贫寒的深情。结尾的“子欲养而亲不待，妻共苦而未同甘”，读之令人落泪。
離思五首・其四,元稹,唐,"曾經滄海難為水，除却巫山不是雲。
取次花叢懶回顧，半縁修道半縁君。","かつて広大で深い滄海（青海原）を見た者にとっては、他のどんな水も水とは思えない。巫山の美しい雲を見た者にとっては、他のどんな雲も雲とは思えない。
花が咲き乱れる中を歩いても、振り返って見る気にもなれない。それは半分は仏道修行のためであり、もう半分は亡き君を深く愛しているからだ。",这是一首极其深情、极其坚定的悼亡诗。“曾经沧海难为水”用极其宏大绝美的比喻，表达了对亡妻独一无二、无可替代的绝对忠诚与深爱，是爱情诗中的千古绝句。
嫦娥,李商隠,唐,"雲母屏風燭影深，長河漸落暁星沈。
嫦娥応悔偷霊薬，碧海青天夜夜心。","雲母の屏風の奥に、ろうそくの影が深く揺れている。夜空の天の川は次第に傾き、明けの明星も沈んでゆく。
月に住む嫦娥（じょうが）は、きっと不老不死の霊薬を盗んだことを後悔しているに違いない。この碧い海と青い空のような冷たい孤独の中で、夜な夜な寂しい心を抱いているのだから。",诗人借神话中偷吃仙药飞升月宫的嫦娥，抒发了极其清冷、孤寂的心境。表面写仙子的悔恨，实则隐喻了世间那些为了某种追求而陷入极致孤独之人的哀凄。
漁家傲・秋思,范仲淹,北宋,"塞下秋来風景異，衡陽雁去無留意。
四面辺声連角起，千嶂裏，長煙落日孤城閉。
濁酒一杯家万里，燕然未勒帰無計。
羌管悠悠霜満地，人不寐，将軍白髪征夫涙。","辺境の砦に秋が来ると、故郷とは風景が全く異なってしまう。雁は南の衡陽を目指して飛び去り、ここに留まる様子もない。
四方の辺境の物音が軍の角笛とともに響き渡り、幾重にも連なる山々の中で、狼煙が立ち昇り落日が沈む中、孤立した城の門が閉ざされる。
濁酒を一杯飲んで万里の彼方の故郷を想うが、まだ敵を打ち破って燕然山に石碑を建てる（功績を上げる）までは、帰る手立てもない。
羌族の笛の音が物悲しく響き、地面は霜で真っ白だ。眠れない夜、将軍には白髪が増え、兵士たちは涙を流している。",范仲淹镇守西北边疆时所作。全词极其苍凉悲壮，将边塞的荒凉奇异与将士们既思念家乡又渴望建功立业的极其矛盾、复杂的心理，刻画得入木三分。
浣渓沙,晏殊,北宋,"一曲新詞酒一杯，去年天気旧亭台。
夕陽西下幾時回？
無可奈何花落去，似曽相識燕帰来。
小園香径独徘徊。","新しい曲の歌詞を聴きながら、一杯の酒を飲む。去年の今頃と同じような天気、同じような亭台にいる。
西へ沈んでいった夕陽は、一体いつになれば戻ってくるのだろうか。
どうすることもできないまま花は散り去って行き、どこかで見たことのあるような燕が今年も帰ってきた。
花びらが散り敷かれた小さな庭の小道を、私は一人で歩き回るのだ。",晏殊的代表作。“无可奈何花落去，似曾相识燕归来”极其精巧对仗，在惋惜时光流逝、落花无情的淡淡惆怅中，又蕴含着事物循环往复的自然理趣，有一种从容、优雅的哀愁。
江城子・乙卯正月二十日夜記夢,蘇軾,北宋,"十年生死両茫茫，不思量，自難忘。
千里孤墳，無処話凄涼。
縦使相逢応不識，塵満面，鬢如霜。

夜来幽夢忽還郷，小軒窓，正梳粧。
相顧無言，惟有涙千行。
料得年年腸断処，明月夜，短松岡。","君が死んで別れてから十年の歳月が経ち、生者と死者の境はどちらも茫々として遠い。意識して考えないようにしていても、自然と忘れることはできない。
君の孤高な墓は千里も離れた故郷にあり、この凄涼たる思いを語る場所もない。
たとえ今ここで巡り会えたとしても、君は私だと分からないだろう。私の顔は垢まみれで、もみあげは霜のように真っ白になってしまったのだから。
（中略）夜の夢の中でふと故郷に帰り、小さな窓辺で君が化粧をしているのを見た。
お互いに見つめ合うだけで言葉も出ず、ただ千行の涙を流すばかりだった。
これからも毎年、はらわたがちぎれるほど悲しい思いをする場所があるとしたら、それはあの明月の夜、短い松が植えられた君の墓のある丘だろう。",苏轼悼念亡妻王弗的千古绝唱。全词情感极其深挚悲痛，将十年的生死之别、沧桑之变与梦中的凄凉相聚交织在一起，“相顾无言，惟有泪千行”，字字血泪，极其感人。
定風波,蘇軾,北宋,"莫聴穿林打葉声，何妨吟嘯且徐行。
竹杖芒鞋軽勝馬，誰怕？一蓑煙雨任平生。

料峭春風吹酒醒，微冷，山頭斜照却相迎。
回首向来蕭瑟処，帰去，也無風雨也無晴。","林を抜け、葉を打ちつける雨の音など気にするな。大声で詩を吟じながら、ゆっくりと歩いて行けばいいではないか。
竹の杖と草鞋の身軽さは、馬に乗るよりも勝っている。誰が恐れるものか。蓑を一つ羽織り、煙るような雨の中を生涯の運命に任せて生きていこう。
（中略）少し冷たい春風が吹いて酔いも覚め、少し肌寒く感じたが、山の頂から斜めに差す夕日が私を迎えてくれた。
振り返って、先ほどまで雨風が吹き荒れていた場所を見て思う。さあ帰ろう、そこにはもう風雨もなく、晴れもないのだ（心の中は完全に平穏だ）。",苏轼黄州贬谪时期的极其旷达之作。借一场突如其来的阵雨，表达了面对人生政治风雨时极其从容、超脱的人生态度。“也无风雨也无晴”达到了极高的禅意境界。
游山西村,陸游,南宋,"莫笑農家臘酒渾，豊年留客足鶏豚。
山重水復疑無路，柳暗花明又一村。
簫鼓追随春社近，衣冠簡朴古風存。
従今若許閑乗月，拄杖無時夜叩門。","農家が出してくれる冬の濁り酒を笑ってはいけない。豊作の年だから、客をもてなす鶏や豚の肉はたっぷりある。
山が重なり川が入り組んで、もう道がないのかと疑ったが、柳が茂り花が明るく咲く向こうに、また新たな村が現れた。
（中略）これからは、もし暇な時に月の光に乗じて出かけることが許されるなら、いつでも杖をついて夜に君の家の門を叩こう。",陆游的纪游名篇。“山重水复疑无路，柳暗花明又一村”不仅写出了山村景色的奇妙变化，更蕴含着在绝境中往往蕴含着无限希望的极其深刻的人生哲理。
破陣子・為陳同甫賦壮詞以寄之,辛棄疾,南宋,"酔裏挑灯看剣，夢回吹角連営。
八百里分麾下炙，五十弦翻塞外声，沙場秋点兵。

馬作的盧飛快，弓如霹靂弦驚。
了却君王天下事，贏得生前身後名。可怜白発生！","酒に酔ったまま灯りを引き寄せ、剣を抜いてじっと見つめる。夢から覚めると、陣営に連なる角笛の音が聞こえてくる。
八百里（広大な陣営）に配下の者たちを分け、焼肉を振る舞う。五十弦の楽器が辺境の音楽を奏で、秋の戦場で出陣の兵士を点呼する。
馬はあの名馬「的盧（てきろ）」のように速く飛び、弓は雷のように弦の音を立てて敵を驚かす。
君主のために天下の事（国土回復）を成し遂げ、生前にも死後にも残る立派な名誉を勝ち得ようとしたのだ。
しかし、悲しいかな。現実の私には白髪が生えてしまった（もはや老いてしまったのだ）！",辛弃疾极其悲壮的爱国词。全词前面极力描绘想象中抗金前线极其威武宏大的战斗场面，结尾一句“可怜白发生”却猛然跌落回极其无奈、凄凉的现实，反差极大，壮志难酬的悲愤直透纸背。
墨梅,王冕,元,"吾家洗硯池頭樹，個個花開淡墨痕。
不要人夸好顔色，只留清気満乾坤。","我が家の硯を洗う池のほとりにある木。どの花も淡い墨の跡のように咲いている。
人から美しい色だと褒められる必要はない。ただ清らかな香りだけが天地に満ちていればよいのだ。",这是一首绝佳的题画诗。诗人通过赞美墨梅不求人夸、只愿散发清香的品格，极其含蓄地表达了自己鄙视流俗、保持极其高洁坚贞操守的人生追求。
涼州詞,王之渙,唐,"黄河遠上白雲間，一片孤城万仞山。
羌笛何須怨楊柳，春風不度玉門関。","黄河ははるか彼方の白雲の間へと上り、万仞の高い山々の中にポツンと一つの城がある。
羌族の笛が「折楊柳（別れの曲）」を恨めしそうに吹いているが、その必要はない。春風はこの玉門関を越えては来ない（柳の枝が芽吹くことはない）のだから。",这首边塞诗极其极其悲壮苍凉。不仅描绘了西北边疆极其雄阔奇丽的风光，更隐晦地表达了对驻守边疆将士孤苦无依、朝廷恩典不到的极其深切的同情。
出塞,王昌齢,唐,"秦時明月漢時関，万里長征人未還。
但使龍城飛将在，不教胡馬度陰山。","秦の時代と同じ明月が、漢の時代と同じ関所を照らしている。万里の遠くへ出征した兵士たちはまだ帰ってこない。
もしも今、あの李広将軍のような名将がいてくれたなら、異民族の馬に陰山を越えさせるようなことは決してさせないのに。",被推为“唐人七绝的压卷之作”。“秦时明月汉时关”以极其宏大的历史视野开头，表达了诗人希望朝廷任用良将、保卫边疆、让人民免受战争之苦的强烈愿望。
従軍行,王昌齢,唐,"青海長雲暗雪山，孤城遥望玉門関。
黄沙百戦穿金甲，不破楼蘭終不還。","青海湖の上に長く伸びる雲が雪山を暗く覆い、孤城から遥か遠くの玉門関を望む。
黄色い砂漠での百度の激戦で金の鎧はすり減り穴が空いてしまったが、敵の楼蘭を打ち破るまでは、決して故郷へは帰らない。",此诗展现了戍边将士极其极其坚韧不拔的意志。“不破楼兰终不还”掷地有声，极其悲壮地抒发了将士们誓死报国、不畏牺牲的英雄气概。
過故人荘,孟浩然,唐,"故人具鶏黍，邀我至田家。
緑樹村辺合，青山郭外斜。
開軒面場圃，把酒話桑麻。
待到重陽日，還来就菊花。","古い友人が鶏や粟を用意して、私を田舎の家に招いてくれた。
緑の木々が村の周りを囲み、青々とした山が村の城壁の外に斜めに連なっている。
窓を開けて脱穀場や野菜畑を眺めながら、酒の杯を手にして桑や麻（農作業）の話をする。
また九月九日の重陽の節句が来たら、ここに戻ってきて菊の花を愛でながら酒を飲もう。",这是一首极其清新恬淡的田园诗。没有极其华丽的辞藻，只有极其淳朴的农家风光和真挚的朋友情谊，读来令人感到极其亲切、宁静。
